eudract_number,arms,controlled,crossover,double_blind,open,parallel_group,randomised,single_blind
2004-000232-91,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-000232-91,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-000232-91,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-000299-15,Yes,Yes,No,Yes,No,Yes,Yes,No
2004-000299-15,Yes,Yes,No,Yes,No,Yes,Yes,No
2004-001307-35,string,Yes,No,No,Yes,No,Yes,No
2004-001647-30,2+,Yes,No,No,No,Yes,No,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-002203-32,Yes,Yes,No,No,Yes,Yes,Yes,No
2004-003886-34,No,No,No,No,No,No,No,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-000454-73,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001347-37,2+,Yes,No,No,Yes,Yes,Yes,No
2005-001678-28,string,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-001747-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002524-34,string,No,No,No,No,No,No,No
2005-002618-40,2+,Yes,No,No,Yes,No,No,No
2005-002716-16,No,No,No,No,No,No,No,No
2005-002796-32,string,Yes,No,Yes,No,Yes,Yes,No
2005-003026-26,No,No,No,No,No,No,No,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003440-66,2+,Yes,No,Yes,No,Yes,Yes,No
2005-003484-23,2+,Yes,No,No,Yes,Yes,Yes,No
2005-003593-16,string,Yes,No,Yes,No,Yes,Yes,No
2005-003593-16,string,Yes,No,Yes,No,Yes,Yes,No
2005-003593-16,string,Yes,No,Yes,No,Yes,Yes,No
2005-003902-27,string,Yes,No,No,Yes,No,No,No
