code,nuts,almondnuts,brazil_nuts,macadamia_nuts,hazelnut,pistachio,walnut,cashew,celery,crustaceans,eggs,fish,gluten,lupin,milk,molluscs,mustard,peanut,sesame,soy,sulfite
4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4104420007963,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4104420007963,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4104420007987,2,0,0,0,2,0,0,0,0,0,2,0,2,2,1,0,0,0,1,1,0
4104420007987,2,0,0,0,2,0,0,0,0,0,2,0,2,2,1,0,0,0,1,1,0
4104420010628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4104420010628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4104420014701,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
4104420014701,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4104420016781,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
4104420016781,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
4104420018907,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
4104420018907,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
4104420020504,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4104420020504,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4104420022683,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
4104420022683,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
