composed_key,actual_arrival,actual_departure,scheduled_arrival,scheduled_departure
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3050.0,2768.0,3056.0,2755.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1279-DFW-PHX,2779.0,2644.0,2735.0,2580.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
2011-12-01 - AA-1434-DFW-MCO,2371.0,2241.0,2375.0,2235.0
