dicom_uid,rows,columns,series_desc,modality
5a5d10df-1fb8-49cb-8d38-75919155faa2,512,512,Chest X-ray,CR
a747cdd8-006a-4176-bb81-1882411cd597,512,512,Chest CT Scan,CT
d5ab40a2-2686-4717-ac82-56e678eccf00,512,512,Chest CT,CT
ac4d6f8f-cae3-4686-9005-befe14d010b2,512,512,Axial T2,MR
42ac4ae3-01ad-412d-93dc-55d9ce52a9bf,512,512,Anatomical,CT
15d94fa8-60d7-4578-8ae8-26b932255f72,512,512,Axial,CT
0f618c22-ac69-4c95-9fd4-aac69a2db4f2,512,512,Axial T2,MR
c5a0bf6e-3b77-420a-a0c6-feba782db354,512,512,CT Scan,CT
4f879794-fd1a-4a1e-8837-73a91d42d9dd,512,512,Axial T2,MR
3d0e890c-b376-446b-9064-91b81ead877c,512,512,Axial T2,MR
d64c08e5-1243-471e-b4f1-2a065652f433,512,512,Chest X-ray,DX
fd3f34cc-2016-424a-b9ef-fa61caa50f7e,512,512,Anatomical,CT
fd80493d-1149-4451-be66-06a5c9daa0b8,512,512,Head CT,CT
4f9fa325-56ef-4679-8cda-56984a37e412,512,512,Anatomical Image,CT
4f278801-2432-4ea9-b4ea-cfb4f7581164,512,512,CT Scan of Abdomen,CT
759a8ce0-d733-473a-8720-5d1dcbfc4dba,512,512,CT Scan of the Head,CT
6715e6b9-aeb4-46ad-8694-71760a416be5,512,512,Axial T2w,MR
83bbf326-3d70-4747-8e50-da4bee33e7c5,512,512,CT Chest,CT
ee604538-6644-4330-9b51-b5c4a7596ce1,512,512,Axial T2,MR
37578167-368f-4a9a-8da9-87579c97ecf3,512,512,CT Scan,CT
ea436f93-af62-4e9f-9ba0-a4a99777b4f3,512,512,Anatomical,CT
d95aa623-1d9d-4bd2-a12d-ba212944395b,512,512,CT Head with Contrast,CT
b9367b53-68bc-46fe-8ac2-04cb104b4d9b,512,512,CT Scan,CT
15352106-7749-44fe-b332-3ff8ed4f9d51,512,512,Axial T2W,MR
4e785e62-9c1a-4139-9b89-123fb1f96c3a,512,512,Anatomical,CT
465aeb2b-22db-4376-a47c-99365a7b2a92,512,512,CT Chest,CT
69376da1-ed74-48fc-b747-4b3e8a3c7ed9,512,512,Axial Chest,CT
3780781d-e55f-464f-a36d-09914feb98ce,512,512,Chest CT,CT
0f64cd38-bda1-4d5d-a1bd-a30484ff01ab,512,512,CT Scan,CT
da074941-b7bb-4486-b452-46b89eb98527,512,512,CT Scan of the Abdomen,CT
2ac7764c-2652-4884-87df-c7dd5a05df8b,512,512,CT Scan of the Head,CT
6d382d85-9f38-4e90-a58e-a682a9dfb86f,512,512,Chest CT,CT
80319cf5-3260-4b83-b17d-9b6587cace8b,512,512,CT Chest,CT
4581ef38-f920-4aa0-8407-b24eae1090e9,512,512,CT Scan,CT
72486bbf-1a14-47f4-b494-71cb94699599,512,512,Chest X-ray,DX
