eudract_number,randomised,crossover,parallel_group,open,single_blind,double_blind,controlled,arms,active_comparator,placebo
2004-000007-18,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000012-13,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000012-13,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000012-13,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000015-25,Yes,No,Yes,No,No,Yes,Yes,,No,No
2004-000015-25,Yes,No,Yes,No,No,Yes,Yes,,No,No
2004-000015-25,Yes,No,Yes,No,No,Yes,Yes,,No,No
2004-000015-25,Yes,No,Yes,No,No,Yes,Yes,,No,No
2004-000016-10,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000016-10,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000020-32,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000022-75,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000022-75,Yes,,Yes,No,No,Yes,No,,,
2004-000022-75,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000022-75,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000023-15,Yes,,,,,,No,,,
2004-000025-29,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000025-29,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000025-29,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000028-34,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000028-34,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000028-34,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000028-34,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000029-31,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000033-11,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000035-28,No,,,,,,Yes,,,
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,,,,,,Yes,,,
