composed_key,actual_arrival,actual_departure,scheduled_arrival,scheduled_departure
2011-12-01 - AA-1007-MIA-PHX,3055,2756,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2756,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3043,2769,,
2011-12-01 - AA-1007-MIA-PHX,3043,2768,3038,2755
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3053,2769,,
2011-12-01 - AA-1007-MIA-PHX,3043,2769,,
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,,
2011-12-01 - AA-1007-MIA-PHX,3055,2768,,
2011-12-01 - AA-1007-MIA-PHX,,2769,,
2011-12-01 - AA-1007-MIA-PHX,3043,2769,,
2011-12-01 - AA-1007-MIA-PHX,3055,2768,,
2011-12-01 - AA-1007-MIA-PHX,3043,2768,3038,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3043,2769,,
2011-12-01 - AA-1165-JFK-MIA,2336,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2325,2182,2305,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2325,2182,2305,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2156,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2156,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2156,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2348,,2374,
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,,2183,,
2011-12-01 - AA-1165-JFK-MIA,2344,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2325,2183,,
2011-12-01 - AA-1165-JFK-MIA,2325,2183,,
2011-12-01 - AA-1165-JFK-MIA,2325,2183,,
2011-12-01 - AA-1165-JFK-MIA,2325,2183,,
2011-12-01 - AA-1165-JFK-MIA,2344,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2338,2183,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2183,2374,2159
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,,,,2580
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2773,2643,,
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2773,2643,,
2011-12-01 - AA-1279-DFW-PHX,2773,2643,,
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2790,2628,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2790,2628,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2780,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,,2643,,
2011-12-01 - AA-1279-DFW-PHX,2773,2644,2714,2580
2011-12-01 - AA-1279-DFW-PHX,2773,2644,2714,2580
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2773,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2773,2644,,
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2779,2644,2735,2580
2011-12-01 - AA-1279-DFW-PHX,2790,2644,2735,2580
2011-12-01 - AA-1434-DFW-MCO,2369,2241,2358,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2374,2242,,
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2241,2358,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2374,2242,,
2011-12-01 - AA-1434-DFW-MCO,,2242,,
2011-12-01 - AA-1434-DFW-MCO,2376,2228,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2228,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2374,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2369,2242,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2374,2242,,
2011-12-01 - AA-1434-DFW-MCO,2369,2241,2358,2235
2011-12-01 - AA-1434-DFW-MCO,2376,2241,2375,2235
2011-12-01 - AA-1434-DFW-MCO,2374,2242,,
2011-12-01 - AA-1434-DFW-MCO,2368,,2375,
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,2142,1930,2150,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,2142,1930,2150,3355
2011-12-01 - AA-1522-SFO-ORD,2142,1930,2150,3355
2011-12-01 - AA-1522-SFO-ORD,2142,1930,2150,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,1931,,
2011-12-01 - AA-1522-SFO-ORD,,,2150,
2011-12-01 - AA-1522-SFO-ORD,2149,1931,2150,3355
2011-12-01 - AA-1522-SFO-ORD,2152,1931,,
2011-12-01 - AA-1522-SFO-ORD,2152,1931,,
2011-12-01 - AA-1522-SFO-ORD,2152,1931,,
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,2154,1931,,
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-1522-SFO-ORD,2152,1931,,
2011-12-01 - AA-1522-SFO-ORD,,,3590,3355
2011-12-01 - AA-222-LAX-BOS,2652,2372,,
2011-12-01 - AA-222-LAX-BOS,2649,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2652,2372,2632,2350
2011-12-01 - AA-222-LAX-BOS,2652,2372,,
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2345,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2649,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,,,2670,2350
2011-12-01 - AA-222-LAX-BOS,,2372,,
2011-12-01 - AA-222-LAX-BOS,2654,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2372,2670,2350
2011-12-01 - AA-222-LAX-BOS,2654,2345,2670,2350
2011-12-01 - AA-222-LAX-BOS,2652,2372,,
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2652,2372,2632,2350
2011-12-01 - AA-222-LAX-BOS,2654,2371,2670,2350
2011-12-01 - AA-222-LAX-BOS,2652,2372,,
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3151,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3174,3044,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3151,3025
2011-12-01 - AA-2312-DFW-DTW,,,,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,,
2011-12-01 - AA-2312-DFW-DTW,,3029,,
2011-12-01 - AA-2312-DFW-DTW,3155,3029,,
2011-12-01 - AA-2312-DFW-DTW,3155,3029,,
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,3155,3029,3151,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-2312-DFW-DTW,,,3170,3025
2011-12-01 - AA-3804-PHL-ORD,,,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2755,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,,,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,,
2011-12-01 - AA-3804-PHL-ORD,2736,2624,,
2011-12-01 - AA-3804-PHL-ORD,2736,2624,,
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,,,,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2755,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,,
2011-12-01 - AA-3804-PHL-ORD,2743,2612,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2736,2624,2765,2615
2011-12-01 - AA-3804-PHL-ORD,2743,2612,2765,2615
2011-12-01 - AA-3804-PHL-ORD,,2624,,
2011-12-01 - AA-3804-PHL-ORD,2743,2624,2765,2615
2011-12-01 - AA-3823-LAX-DEN,1861,1756,,
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,1875,
2011-12-01 - AA-3823-LAX-DEN,3289,3186,,
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,,
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,1861,3196,1865,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,,
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,1875,3180
2011-12-01 - AA-3823-LAX-DEN,1861,3196,1865,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,3186,,
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,1875,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,1875,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,1875,3180
2011-12-01 - AA-3823-LAX-DEN,3289,3186,1875,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-3823-LAX-DEN,,,3315,3180
2011-12-01 - AA-400-DFW-JFK,2644,2461,2639,2440
2011-12-01 - AA-400-DFW-JFK,2644,2461,2639,2440
2011-12-01 - AA-400-DFW-JFK,2644,2461,2639,2440
2011-12-01 - AA-400-DFW-JFK,2638,2461,2615,2440
2011-12-01 - AA-400-DFW-JFK,2644,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,2644,2447,2639,2440
2011-12-01 - AA-400-DFW-JFK,,,,2440
2011-12-01 - AA-400-DFW-JFK,2644,2461,2639,2440
2011-12-01 - AA-400-DFW-JFK,2638,2462,,
2011-12-01 - AA-400-DFW-JFK,2638,2462,,
2011-12-01 - AA-400-DFW-JFK,2644,2461,,
2011-12-01 - AA-400-DFW-JFK,2644,2461,,
2011-12-01 - AA-400-DFW-JFK,2644,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,,2462,,
2011-12-01 - AA-400-DFW-JFK,2644,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,2644,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,2644,2461,,
2011-12-01 - AA-400-DFW-JFK,2644,2447,2639,2440
2011-12-01 - AA-400-DFW-JFK,2632,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,2638,2461,2615,2440
2011-12-01 - AA-400-DFW-JFK,2644,2462,2639,2440
2011-12-01 - AA-400-DFW-JFK,2636,2462,2639,2440
