composed_key,actual_arrival,actual_departure,scheduled_arrival,scheduled_departure
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
