composed_key,actual_arrival,actual_departure,scheduled_arrival,scheduled_departure
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1007-MIA-PHX,3055,2768,3065,2755
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
2011-12-01 - AA-1165-JFK-MIA,2344,2182,2374,2159
