actual_arrival,actual_departure,composed_key,scheduled_arrival,scheduled_departure
49049,48896,2012-01-02 - UA-938-DEN-ORD,49037,48894
49049,48896,2012-01-02 - UA-938-DEN-ORD,49037,48894
,,2011-12-22 - UA-3515-IAD-MSP,32649,32479
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
2819,2641,2011-12-01 - CO-1250-MIA-IAH,2808,2633
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
50580,50299,2012-01-03 - AA-1007-MIA-PHX,50585,50275
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2854,2540,2011-12-01 - CO-16-LAX-EWR,2864,2545
2516,2356,2011-12-01 - UA-1500-IAH-GUA,2505,2335
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
2919,2789,2011-12-01 - AA-484-DFW-MIA,2935,2775
11414,11308,2011-12-07 - UA-2314-ATL-PHL,11400,11275
,,2011-12-01 - AA-2312-DFW-DTW,3170,3025
,,2011-12-01 - AA-2312-DFW-DTW,3170,3025
,,2011-12-01 - AA-2312-DFW-DTW,3170,3025
,,2011-12-01 - AA-2312-DFW-DTW,3170,3025
50283,50155,2012-01-03 - UA-2314-ATL-PHL,50280,50155
50283,50155,2012-01-03 - UA-2314-ATL-PHL,50280,50155
50283,50155,2012-01-03 - UA-2314-ATL-PHL,50280,50155
50516,50310,2012-01-03 - CO-63-EWR-IAH,50550,50305
50516,50310,2012-01-03 - CO-63-EWR-IAH,50550,50305
50516,50310,2012-01-03 - CO-63-EWR-IAH,50550,50305
38544,38351,2011-12-26 - UA-2945-PHL-CLT,38565,38460
50471,50344,2012-01-03 - UA-938-DEN-ORD,50498,50344
50471,50344,2012-01-03 - UA-938-DEN-ORD,50498,50344
50471,50344,2012-01-03 - UA-938-DEN-ORD,50498,50344
50471,50344,2012-01-03 - UA-938-DEN-ORD,50498,50344
50471,50344,2012-01-03 - UA-938-DEN-ORD,50498,50344
14335,14176,2011-12-09 - CO-1250-MIA-IAH,14325,14153
45303,45060,2011-12-30 - UA-828-SFO-ORD,45303,45060
38115,37873,2011-12-25 - UA-828-SFO-ORD,38115,37873
51080,50830,2012-01-03 - UA-828-SFO-ORD,51080,50830
51080,50830,2012-01-03 - UA-828-SFO-ORD,51080,50830
51080,50830,2012-01-03 - UA-828-SFO-ORD,51080,50830
49626,49383,2012-01-02 - UA-828-SFO-ORD,49626,49383
49626,49383,2012-01-02 - UA-828-SFO-ORD,49626,49383
48195,47953,2012-01-01 - UA-828-SFO-ORD,48195,47953
48195,47953,2012-01-01 - UA-828-SFO-ORD,48195,47953
48195,47953,2012-01-01 - UA-828-SFO-ORD,48195,47953
45303,45060,2011-12-30 - UA-828-SFO-ORD,45303,45060
45303,45060,2011-12-30 - UA-828-SFO-ORD,45303,45060
43875,43633,2011-12-29 - UA-828-SFO-ORD,43875,43633
43875,43633,2011-12-29 - UA-828-SFO-ORD,43875,43633
43875,43633,2011-12-29 - UA-828-SFO-ORD,43875,43633
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
40995,40753,2011-12-27 - UA-828-SFO-ORD,40995,40753
40995,40753,2011-12-27 - UA-828-SFO-ORD,40995,40753
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
38115,37873,2011-12-25 - UA-828-SFO-ORD,38115,37873
38115,37873,2011-12-25 - UA-828-SFO-ORD,38115,37873
30915,30673,2011-12-20 - UA-828-SFO-ORD,30915,30673
30915,30673,2011-12-20 - UA-828-SFO-ORD,30915,30673
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
28035,27793,2011-12-18 - UA-828-SFO-ORD,28035,27793
28035,27793,2011-12-18 - UA-828-SFO-ORD,28035,27793
26590,26347,2011-12-17 - UA-828-SFO-ORD,26590,26347
26590,26347,2011-12-17 - UA-828-SFO-ORD,26590,26347
26590,26347,2011-12-17 - UA-828-SFO-ORD,26590,26347
26590,26347,2011-12-17 - UA-828-SFO-ORD,26590,26347
25155,24913,2011-12-16 - UA-828-SFO-ORD,25155,24913
25155,24913,2011-12-16 - UA-828-SFO-ORD,25155,24913
25155,24913,2011-12-16 - UA-828-SFO-ORD,25155,24913
23716,23473,2011-12-15 - UA-828-SFO-ORD,23716,23473
23716,23473,2011-12-15 - UA-828-SFO-ORD,23716,23473
23716,23473,2011-12-15 - UA-828-SFO-ORD,23716,23473
22276,22033,2011-12-14 - UA-828-SFO-ORD,22276,22033
22276,22033,2011-12-14 - UA-828-SFO-ORD,22276,22033
20831,20588,2011-12-13 - UA-828-SFO-ORD,20831,20588
20831,20588,2011-12-13 - UA-828-SFO-ORD,20831,20588
20831,20588,2011-12-13 - UA-828-SFO-ORD,20831,20588
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
17995,17755,2011-12-11 - UA-828-SFO-ORD,17995,17755
17995,17755,2011-12-11 - UA-828-SFO-ORD,17995,17755
17995,17755,2011-12-11 - UA-828-SFO-ORD,17995,17755
16517,16280,2011-12-10 - UA-828-SFO-ORD,16517,16280
16517,16280,2011-12-10 - UA-828-SFO-ORD,16517,16280
16517,16280,2011-12-10 - UA-828-SFO-ORD,16517,16280
15071,14828,2011-12-09 - UA-828-SFO-ORD,15071,14828
15071,14828,2011-12-09 - UA-828-SFO-ORD,15071,14828
13631,13388,2011-12-08 - UA-828-SFO-ORD,13631,13388
13631,13388,2011-12-08 - UA-828-SFO-ORD,13631,13388
12191,11948,2011-12-07 - UA-828-SFO-ORD,12191,11948
12191,11948,2011-12-07 - UA-828-SFO-ORD,12191,11948
9311,9068,2011-12-05 - UA-828-SFO-ORD,9311,9068
9311,9068,2011-12-05 - UA-828-SFO-ORD,9311,9068
7875,7632,2011-12-04 - UA-828-SFO-ORD,7875,7632
7875,7632,2011-12-04 - UA-828-SFO-ORD,7875,7632
7875,7632,2011-12-04 - UA-828-SFO-ORD,7875,7632
6434,6179,2011-12-03 - UA-828-SFO-ORD,6434,6179
6434,6179,2011-12-03 - UA-828-SFO-ORD,6434,6179
6434,6179,2011-12-03 - UA-828-SFO-ORD,6434,6179
4991,4748,2011-12-02 - UA-828-SFO-ORD,4991,4748
4991,4748,2011-12-02 - UA-828-SFO-ORD,4991,4748
49626,49383,2012-01-02 - UA-828-SFO-ORD,49626,49383
43875,43633,2011-12-29 - UA-828-SFO-ORD,43875,43633
43875,43633,2011-12-29 - UA-828-SFO-ORD,43875,43633
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
42435,42193,2011-12-28 - UA-828-SFO-ORD,42435,42193
40995,40753,2011-12-27 - UA-828-SFO-ORD,40995,40753
40995,40753,2011-12-27 - UA-828-SFO-ORD,40995,40753
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
39555,39313,2011-12-26 - UA-828-SFO-ORD,39555,39313
33795,33553,2011-12-22 - UA-828-SFO-ORD,33795,33553
33795,33553,2011-12-22 - UA-828-SFO-ORD,33795,33553
30915,30673,2011-12-20 - UA-828-SFO-ORD,30915,30673
30915,30673,2011-12-20 - UA-828-SFO-ORD,30915,30673
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
29475,29233,2011-12-19 - UA-828-SFO-ORD,29475,29233
28035,27793,2011-12-18 - UA-828-SFO-ORD,28035,27793
28035,27793,2011-12-18 - UA-828-SFO-ORD,28035,27793
22276,22033,2011-12-14 - UA-828-SFO-ORD,22276,22033
22276,22033,2011-12-14 - UA-828-SFO-ORD,22276,22033
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
19391,19148,2011-12-12 - UA-828-SFO-ORD,19391,19148
