composed_key,actual_arrival,actual_departure,scheduled_arrival,scheduled_departure
2011-12-01 - AA-1007-MIA-PHX,3055.0,2756.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2756.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3043.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3043.0,2768.0,3038.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3053.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3043.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,,
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,,
2011-12-01 - AA-1007-MIA-PHX,,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3043.0,2769.0,,
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,,
2011-12-01 - AA-1007-MIA-PHX,3043.0,2768.0,3038.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3055.0,2768.0,3065.0,2755.0
2011-12-01 - AA-1007-MIA-PHX,3043.0,2769.0,,
2011-12-01 - AA-1165-JFK-MIA,2336.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2325.0,2182.0,2305.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2325.0,2182.0,2305.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2156.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2156.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2156.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2348.0,,2374.0,
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2344.0,2182.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,,2183.0,,
2011-12-01 - AA-1165-JFK-MIA,2344.0,2183.0,2374.0,2159.0
2011-12-01 - AA-1165-JFK-MIA,2325.0,2183.0,,
