actual_arrival,scheduled_arrival,actual_departure,composed_key,scheduled_departure
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
29783,29787,29137,2011-12-20 - UA-858-PVG-SFO,29145
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
28429,28423,28264,2011-12-19 - UA-1500-IAH-GUA,28250
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
4328,4323,4130,2011-12-02 - UA-62-IAH-EWR,4110
