tid,code,nuts,almondnuts,brazil_nuts,macadamia_nuts,hazelnut,pistachio,walnut,cashew,celery,crustaceans,eggs,fish,gluten,lupin,milk,molluscs,mustard,peanut,sesame,soy,sulfite
4,4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
5,4104420006065,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
10,4104420007963,2,1,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0
11,4104420007963,2,1,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,1,0
12,4104420007987,2,2,0,0,2,1,1,0,0,0,2,0,2,2,1,0,0,0,0,1,0
13,4104420007987,2,2,0,0,2,1,1,0,0,0,2,0,2,2,1,0,0,0,0,1,0
16,4104420010628,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
17,4104420010628,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
36,4104420014701,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0
37,4104420014701,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0
44,4104420015289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,4104420015289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
55,4104420016149,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
64,4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
65,4104420016545,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
70,4104420016781,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0
71,4104420016781,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,1,0
94,4104420018907,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0
95,4104420018907,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,1,0
108,4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
109,4104420020443,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,1,0
112,4104420020504,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
113,4104420020504,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4104420021327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4104420021785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
127,4104420022287,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0
128,4104420022683,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
129,4104420022683,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
152,4104420024960,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
153,4104420024960,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
156,4104420025066,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,4104420025066,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,4104420025547,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,4104420025547,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,4104420025721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
163,4104420025721,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
164,4104420025929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
