tid,attribute,correct_val
29252,eudract_number,2008-006181-28
29252,open,Yes
29252,single_blind,No
29252,double_blind,No
29252,randomised,No
29252,crossover,No
29252,parallel_group,No
29252,arms,1
29252,controlled,No
29253,eudract_number,2008-006181-28
29253,open,Yes
29253,single_blind,No
29253,double_blind,No
29253,randomised,No
29253,crossover,No
29253,parallel_group,No
29253,arms,1
29253,controlled,No
29254,eudract_number,2008-006181-28
29254,open,Yes
29254,single_blind,No
29254,double_blind,No
29254,randomised,No
29254,crossover,No
29254,parallel_group,No
29254,arms,1
29254,controlled,No
29255,eudract_number,2008-006181-28
29255,open,Yes
29255,single_blind,No
29255,double_blind,No
29255,randomised,No
29255,crossover,No
29255,parallel_group,No
29255,arms,1
29255,controlled,No
29256,eudract_number,2008-006181-28
29256,open,Yes
29256,single_blind,No
29256,double_blind,No
29256,randomised,No
29256,crossover,No
29256,parallel_group,No
29256,arms,1
29256,controlled,No
29257,eudract_number,2008-006181-28
29257,open,Yes
29257,single_blind,No
29257,double_blind,No
29257,randomised,No
29257,crossover,No
29257,parallel_group,No
29257,arms,1
29257,controlled,No
67778,eudract_number,2014-003626-40
67778,open,No
67778,single_blind,No
67778,double_blind,Yes
67778,randomised,Yes
67778,crossover,No
67778,parallel_group,Yes
67778,arms,2+
67778,controlled,Yes
67779,eudract_number,2014-003626-40
67779,open,No
67779,single_blind,No
67779,double_blind,Yes
67779,randomised,Yes
67779,crossover,No
67779,parallel_group,Yes
67779,arms,2+
67779,controlled,Yes
67780,eudract_number,2014-003626-40
67780,open,No
67780,single_blind,No
67780,double_blind,Yes
67780,randomised,Yes
67780,crossover,No
67780,parallel_group,Yes
67780,arms,2+
67780,controlled,Yes
67781,eudract_number,2014-003626-40
67781,open,No
67781,single_blind,No
67781,double_blind,Yes
67781,randomised,Yes
67781,crossover,No
67781,parallel_group,Yes
67781,arms,2+
67781,controlled,Yes
67782,eudract_number,2014-003626-40
67782,open,No
67782,single_blind,No
67782,double_blind,Yes
67782,randomised,Yes
67782,crossover,No
67782,parallel_group,Yes
67782,arms,2+
67782,controlled,Yes
67783,eudract_number,2014-003626-40
67783,open,No
67783,single_blind,No
67783,double_blind,Yes
67783,randomised,Yes
67783,crossover,No
67783,parallel_group,Yes
67783,arms,2+
67783,controlled,Yes
67784,eudract_number,2014-003626-40
67784,open,No
67784,single_blind,No
67784,double_blind,Yes
67784,randomised,Yes
67784,crossover,No
67784,parallel_group,Yes
67784,arms,2+
67784,controlled,Yes
67785,eudract_number,2014-003626-40
67785,open,No
67785,single_blind,No
67785,double_blind,Yes
67785,randomised,Yes
67785,crossover,No
67785,parallel_group,Yes
67785,arms,2+
67785,controlled,Yes
67786,eudract_number,2014-003626-40
67786,open,No
67786,single_blind,No
67786,double_blind,Yes
67786,randomised,Yes
67786,crossover,No
67786,parallel_group,Yes
67786,arms,2+
67786,controlled,Yes
67787,eudract_number,2014-003626-40
67787,open,No
67787,single_blind,No
67787,double_blind,Yes
67787,randomised,Yes
67787,crossover,No
67787,parallel_group,Yes
67787,arms,2+
67787,controlled,Yes
67788,eudract_number,2014-003626-40
67788,open,No
67788,single_blind,No
67788,double_blind,Yes
67788,randomised,Yes
67788,crossover,No
67788,parallel_group,Yes
67788,arms,2+
67788,controlled,Yes
46881,eudract_number,2011-002271-42
46881,open,No
46881,single_blind,No
46881,double_blind,Yes
46881,randomised,Yes
46881,crossover,No
46881,parallel_group,Yes
46881,arms,2+
46881,controlled,Yes
56476,eudract_number,2012-004877-26
56476,open,No
56476,single_blind,No
56476,double_blind,Yes
56476,randomised,Yes
56476,crossover,No
56476,parallel_group,Yes
56476,arms,2+
56476,controlled,Yes
56477,eudract_number,2012-004877-26
56477,open,No
56477,single_blind,No
56477,double_blind,Yes
56477,randomised,Yes
56477,crossover,No
56477,parallel_group,Yes
56477,arms,2+
56477,controlled,Yes
56478,eudract_number,2012-004877-26
56478,open,No
56478,single_blind,No
56478,double_blind,Yes
56478,randomised,Yes
56478,crossover,No
56478,parallel_group,Yes
56478,arms,2+
56478,controlled,Yes
56479,eudract_number,2012-004877-26
56479,open,No
56479,single_blind,No
56479,double_blind,Yes
56479,randomised,Yes
56479,crossover,No
56479,parallel_group,Yes
56479,arms,2+
56479,controlled,Yes
56480,eudract_number,2012-004877-26
56480,open,No
56480,single_blind,No
56480,double_blind,Yes
56480,randomised,Yes
56480,crossover,No
56480,parallel_group,Yes
56480,arms,2+
56480,controlled,Yes
56481,eudract_number,2012-004877-26
56481,open,No
56481,single_blind,No
56481,double_blind,Yes
56481,randomised,Yes
56481,crossover,No
56481,parallel_group,Yes
56481,arms,2+
56481,controlled,Yes
56482,eudract_number,2012-004877-26
56482,open,No
56482,single_blind,No
56482,double_blind,Yes
56482,randomised,Yes
56482,crossover,No
56482,parallel_group,Yes
56482,arms,2+
56482,controlled,Yes
26044,eudract_number,2008-002226-11
26044,open,No
26044,single_blind,No
26044,double_blind,Yes
26044,randomised,Yes
26044,crossover,No
26044,parallel_group,Yes
26044,arms,2+
26044,controlled,Yes
40130,eudract_number,2010-020601-32
40130,open,No
40130,single_blind,No
40130,double_blind,Yes
40130,randomised,Yes
40130,crossover,No
40130,parallel_group,No
40130,arms,2+
40130,controlled,Yes
40131,eudract_number,2010-020601-32
40131,open,No
40131,single_blind,No
40131,double_blind,Yes
40131,randomised,Yes
40131,crossover,No
40131,parallel_group,No
40131,arms,2+
40131,controlled,Yes
40132,eudract_number,2010-020601-32
40132,open,No
40132,single_blind,No
40132,double_blind,Yes
40132,randomised,Yes
40132,crossover,No
40132,parallel_group,No
40132,arms,2+
40132,controlled,Yes
40133,eudract_number,2010-020601-32
40133,open,No
40133,single_blind,No
40133,double_blind,Yes
40133,randomised,Yes
40133,crossover,No
40133,parallel_group,No
40133,arms,2+
40133,controlled,Yes
40134,eudract_number,2010-020601-32
40134,open,No
40134,single_blind,No
40134,double_blind,Yes
40134,randomised,Yes
40134,crossover,No
40134,parallel_group,No
40134,arms,2+
40134,controlled,Yes
40135,eudract_number,2010-020601-32
40135,open,No
40135,single_blind,No
40135,double_blind,Yes
40135,randomised,Yes
40135,crossover,No
40135,parallel_group,No
40135,arms,2+
40135,controlled,Yes
40136,eudract_number,2010-020601-32
40136,open,No
40136,single_blind,No
40136,double_blind,Yes
40136,randomised,Yes
40136,crossover,No
40136,parallel_group,No
40136,arms,2+
40136,controlled,Yes
40137,eudract_number,2010-020601-32
40137,open,No
40137,single_blind,No
40137,double_blind,Yes
40137,randomised,Yes
40137,crossover,No
40137,parallel_group,No
40137,arms,2+
40137,controlled,Yes
40138,eudract_number,2010-020601-32
40138,open,No
40138,single_blind,No
40138,double_blind,Yes
40138,randomised,Yes
40138,crossover,No
40138,parallel_group,No
40138,arms,2+
40138,controlled,Yes
40139,eudract_number,2010-020601-32
40139,open,No
40139,single_blind,No
40139,double_blind,Yes
40139,randomised,Yes
40139,crossover,No
40139,parallel_group,No
40139,arms,2+
40139,controlled,Yes
40140,eudract_number,2010-020601-32
40140,open,No
40140,single_blind,No
40140,double_blind,Yes
40140,randomised,Yes
40140,crossover,No
40140,parallel_group,No
40140,arms,2+
40140,controlled,Yes
40141,eudract_number,2010-020601-32
40141,open,No
40141,single_blind,No
40141,double_blind,Yes
40141,randomised,Yes
40141,crossover,No
40141,parallel_group,No
40141,arms,2+
40141,controlled,Yes
40142,eudract_number,2010-020601-32
40142,open,No
40142,single_blind,No
40142,double_blind,Yes
40142,randomised,Yes
40142,crossover,No
40142,parallel_group,No
40142,arms,2+
40142,controlled,Yes
53086,eudract_number,2012-001947-31
53086,open,Yes
53086,single_blind,No
53086,double_blind,No
53086,randomised,No
53086,crossover,No
53086,parallel_group,No
53086,arms,1
53086,controlled,No
49371,eudract_number,2011-004868-30
49371,open,Yes
49371,single_blind,No
49371,double_blind,No
