tid,attribute,correct_val
93463,scheduled_arrival,8123
93463,actual_arrival,8109
93463,actual_departure,8036
93463,composed_key,2011-12-05 - UA-414-LAX-SFO
93463,scheduled_departure,8040
93553,scheduled_arrival,8123
93553,actual_arrival,8109
93553,actual_departure,8036
93553,composed_key,2011-12-05 - UA-414-LAX-SFO
93553,scheduled_departure,8040
93554,scheduled_arrival,8123
93554,actual_arrival,8109
93554,actual_departure,8036
93554,composed_key,2011-12-05 - UA-414-LAX-SFO
93554,scheduled_departure,8040
93828,scheduled_arrival,8123
93828,actual_arrival,8109
93828,actual_departure,8036
93828,composed_key,2011-12-05 - UA-414-LAX-SFO
93828,scheduled_departure,8040
93915,scheduled_arrival,8123
93915,actual_arrival,8109
93915,actual_departure,8036
93915,composed_key,2011-12-05 - UA-414-LAX-SFO
93915,scheduled_departure,8040
94068,scheduled_arrival,8123
94068,actual_arrival,8109
94068,actual_departure,8036
94068,composed_key,2011-12-05 - UA-414-LAX-SFO
94068,scheduled_departure,8040
94085,scheduled_arrival,8123
94085,actual_arrival,8109
94085,actual_departure,8036
94085,composed_key,2011-12-05 - UA-414-LAX-SFO
94085,scheduled_departure,8040
94086,scheduled_arrival,8123
94086,actual_arrival,8109
94086,actual_departure,8036
94086,composed_key,2011-12-05 - UA-414-LAX-SFO
94086,scheduled_departure,8040
94087,scheduled_arrival,8123
94087,actual_arrival,8109
94087,actual_departure,8036
94087,composed_key,2011-12-05 - UA-414-LAX-SFO
94087,scheduled_departure,8040
94088,scheduled_arrival,8123
94088,actual_arrival,8109
94088,actual_departure,8036
94088,composed_key,2011-12-05 - UA-414-LAX-SFO
94088,scheduled_departure,8040
94089,scheduled_arrival,8123
94089,actual_arrival,8109
94089,actual_departure,8036
94089,composed_key,2011-12-05 - UA-414-LAX-SFO
94089,scheduled_departure,8040
94090,scheduled_arrival,8123
94090,actual_arrival,8109
94090,actual_departure,8036
94090,composed_key,2011-12-05 - UA-414-LAX-SFO
94090,scheduled_departure,8040
94091,scheduled_arrival,8123
94091,actual_arrival,8109
94091,actual_departure,8036
94091,composed_key,2011-12-05 - UA-414-LAX-SFO
94091,scheduled_departure,8040
94092,scheduled_arrival,8123
94092,actual_arrival,8109
94092,actual_departure,8036
94092,composed_key,2011-12-05 - UA-414-LAX-SFO
94092,scheduled_departure,8040
94093,scheduled_arrival,8123
94093,actual_arrival,8109
94093,actual_departure,8036
94093,composed_key,2011-12-05 - UA-414-LAX-SFO
94093,scheduled_departure,8040
94094,scheduled_arrival,8123
94094,actual_arrival,8109
94094,actual_departure,8036
94094,composed_key,2011-12-05 - UA-414-LAX-SFO
94094,scheduled_departure,8040
94095,scheduled_arrival,8123
94095,actual_arrival,8109
94095,actual_departure,8036
94095,composed_key,2011-12-05 - UA-414-LAX-SFO
94095,scheduled_departure,8040
94096,scheduled_arrival,8123
94096,actual_arrival,8109
94096,actual_departure,8036
94096,composed_key,2011-12-05 - UA-414-LAX-SFO
94096,scheduled_departure,8040
94097,scheduled_arrival,8123
94097,actual_arrival,8109
94097,actual_departure,8036
94097,composed_key,2011-12-05 - UA-414-LAX-SFO
94097,scheduled_departure,8040
94098,scheduled_arrival,8123
94098,actual_arrival,8109
94098,actual_departure,8036
94098,composed_key,2011-12-05 - UA-414-LAX-SFO
94098,scheduled_departure,8040
94099,scheduled_arrival,8123
94099,actual_arrival,8109
94099,actual_departure,8036
94099,composed_key,2011-12-05 - UA-414-LAX-SFO
94099,scheduled_departure,8040
94100,scheduled_arrival,8123
94100,actual_arrival,8109
94100,actual_departure,8036
94100,composed_key,2011-12-05 - UA-414-LAX-SFO
94100,scheduled_departure,8040
94101,scheduled_arrival,8123
94101,actual_arrival,8109
94101,actual_departure,8036
94101,composed_key,2011-12-05 - UA-414-LAX-SFO
94101,scheduled_departure,8040
94102,scheduled_arrival,8123
94102,actual_arrival,8109
94102,actual_departure,8036
94102,composed_key,2011-12-05 - UA-414-LAX-SFO
94102,scheduled_departure,8040
159951,scheduled_arrival,38565
159951,actual_arrival,38556
159951,actual_departure,38163
159951,composed_key,2011-12-26 - AA-59-JFK-SFO
159951,scheduled_departure,38170
159952,scheduled_arrival,38565
159952,actual_arrival,38556
159952,actual_departure,38163
159952,composed_key,2011-12-26 - AA-59-JFK-SFO
159952,scheduled_departure,38170
159953,scheduled_arrival,38565
159953,actual_arrival,38556
159953,actual_departure,38163
159953,composed_key,2011-12-26 - AA-59-JFK-SFO
159953,scheduled_departure,38170
159954,scheduled_arrival,38565
159954,actual_arrival,38556
159954,actual_departure,38163
159954,composed_key,2011-12-26 - AA-59-JFK-SFO
159954,scheduled_departure,38170
159955,scheduled_arrival,38565
159955,actual_arrival,38556
159955,actual_departure,38163
159955,composed_key,2011-12-26 - AA-59-JFK-SFO
159955,scheduled_departure,38170
159956,scheduled_arrival,38565
159956,actual_arrival,38556
159956,actual_departure,38163
159956,composed_key,2011-12-26 - AA-59-JFK-SFO
159956,scheduled_departure,38170
160073,scheduled_arrival,38565
160073,actual_arrival,38556
160073,actual_departure,38163
160073,composed_key,2011-12-26 - AA-59-JFK-SFO
160073,scheduled_departure,38170
160126,scheduled_arrival,38565
160126,actual_arrival,38556
160126,actual_departure,38163
160126,composed_key,2011-12-26 - AA-59-JFK-SFO
160126,scheduled_departure,38170
160194,scheduled_arrival,38565
160194,actual_arrival,38556
160194,actual_departure,38163
160194,composed_key,2011-12-26 - AA-59-JFK-SFO
160194,scheduled_departure,38170
160195,scheduled_arrival,38565
